Name,Energy Usage,Waste Generated,Business Travel
Company 1,103770.48,3799.3999999999996,18391.065
Company 2,34281.3732,2973.6,15592.962
Company 3,977435.8415999999,29791.76,29988.420000000002
Company 4,39454.591199999995,3220.16,17660.335000000003
Company 5,38870.736,1921.3999999999999,4522.21
Company 6,107626.9236,12538.599999999999,24646.83375
Company 7,135792.216,10111.56,18726.015
Company 8,131928.5076,12512.4,20186.80125
Company 9,670178.0304,54351.35999999999,25575.33
Company 10,116455.91399999999,6325.2,23338.92
Company 11,20886.7932,2051.3599999999997,16030.938
Company 12,1260533.3472,68015.0,21159.93
Company 13,106407.7128,5602.839999999999,16948.47
Company 14,35697.1656,1244.2399999999998,5306.455
Company 15,493215.5472,31511.76,22477.366153846157
Company 16,84705.3228,11998.24,22018.05375
Company 17,1364612.4204,42862.32,21749.145
Company 18,14570.1,3203.3199999999997,13798.554
Company 19,1290894.7907999998,40910.079999999994,38079.3875
Company 20,583044.9624,44831.079999999994,35398.44
Company 21,100688.3964,11715.8,19788.615
Company 22,71665.46639999999,7695.039999999999,17880.39
Company 23,94115.08559999999,5308.879999999999,27230.857500000002
Company 24,40794.8604,1974.2799999999997,22629.222
Company 25,776162.9772,49428.56,20747.53153846154
Company 26,89011.6044,12881.759999999998,22512.93
Company 27,113104.43999999999,4093.5199999999995,23268.63
Company 28,693763.4711999999,15402.72,29313.643333333333
Company 29,1281159.9444,25984.039999999997,25728.318
Company 30,39594.92279999999,898.2399999999999,18679.43
Company 31,807656.4996,34554.719999999994,27769.53666666667
Company 32,22917.444,2630.6,4945.71
Company 33,27315.7476,704.04,6374.214
Company 34,819921.7679999999,18332.239999999998,34574.82
Company 35,835117.0175999999,53976.159999999996,32993.473333333335
Company 36,39066.8076,2916.2,7604.135
Company 37,586049.7348,32003.079999999998,43494.73333333334
Company 38,735152.2956,15319.319999999998,37480.59
Company 39,1226604.0684,25955.519999999997,28452.732000000004
Company 40,22809.9084,783.9599999999999,17554.46
Company 41,81402.38759999999,3567.68,20311.5
Company 42,85074.4932,3464.9199999999996,23115.180000000004
Company 43,1176258.366,41200.03999999999,31621.128
Company 44,572275.0332,15898.039999999999,22097.637692307693
Company 45,32439.7644,1813.8,21808.248
Company 46,18685.538399999998,1459.9599999999998,21280.182
Company 47,368820.6432,56995.439999999995,24987.27
Company 48,119112.35159999998,9338.8,27680.070000000003
Company 49,92870.136,5534.599999999999,16251.4275
Company 50,926760.2844,41826.32,28448.475000000002
Company 51,76489.61519999999,5334.24,18434.666250000002
Company 52,58790.49,3838.12,28034.16
Company 53,92474.02919999999,13358.56,17673.52125
Company 54,96242.55239999999,7825.839999999999,24415.256250000002
Company 55,1188874.17,49676.799999999996,25486.8075
Company 56,132613.42919999998,10398.679999999998,16530.030000000002
Company 57,1207644.6671999998,65097.31999999999,28359.210000000003
Company 58,101059.8504,4118.5599999999995,25601.44125
Company 59,382365.378,20757.44,29695.05
Company 60,100929.7152,6841.039999999999,30214.140000000003
Company 61,38567.126399999994,1039.8799999999999,14409.78
Company 62,1166740.9884,28641.639999999996,34379.94
Company 63,120456.2928,10229.839999999998,24317.37
Company 64,702080.3424,44119.719999999994,20756.89
Company 65,27793.707599999998,1077.08,12139.82
Company 66,92171.17079999999,9002.32,25536.72
